HGT,Seed,Raw_Multi_AMR,Proc_Multi_AMR,Combined_Multi_AMR
0.1,15,0.16483516483516483,0.19101123595505617,0.1779232003951105
0.1,16,0.16326530612244897,0.17073170731707318,0.16699850671976108
0.1,17,0.22727272727272727,0.16304347826086957,0.1951581027667984
0.1,18,0.21739130434782608,0.13636363636363635,0.1768774703557312
0.1,19,0.15730337078651685,0.13186813186813187,0.14458575132732437
0.1,20,0.18947368421052632,0.18823529411764706,0.1888544891640867
0.1,21,0.20430107526881722,0.19540229885057472,0.19985168705969597
0.1,22,0.21428571428571427,0.13541666666666666,0.17485119047619047
0.1,23,0.26881720430107525,0.20689655172413793,0.23785687801260658
0.1,24,0.18947368421052632,0.21176470588235294,0.20061919504643963
0.1,25,0.12790697674418605,0.22340425531914893,0.1756556160316675
0.1,26,0.21428571428571427,0.17708333333333334,0.1956845238095238
0.1,27,0.23076923076923078,0.20224719101123595,0.21650821089023337
0.1,28,0.24444444444444444,0.2111111111111111,0.22777777777777777
0.1,29,0.23170731707317074,0.23469387755102042,0.23320059731209558
0.1,30,0.17045454545454544,0.15217391304347827,0.16131422924901184
0.1,31,0.2441860465116279,0.19148936170212766,0.21783770410687778
0.1,32,0.11578947368421053,0.24705882352941178,0.18142414860681116
0.1,33,0.17647058823529413,0.16842105263157894,0.17244582043343654
0.1,34,0.12790697674418605,0.24468085106382978,0.1862939139040079
0.1,35,0.2,0.15555555555555556,0.17777777777777778
0.1,36,0.23655913978494625,0.27586206896551724,0.25621060437523174
0.1,37,0.14130434782608695,0.14772727272727273,0.14451581027667984
0.1,38,0.1724137931034483,0.15053763440860216,0.1614757137560252
0.1,39,0.1728395061728395,0.18181818181818182,0.17732884399551066
0.1,40,0.3434343434343434,0.24691358024691357,0.2951739618406285
0.1,41,0.1839080459770115,0.23655913978494625,0.21023359288097887
0.1,42,0.2,0.22105263157894736,0.21052631578947367
0.1,43,0.14457831325301204,0.16494845360824742,0.15476338343062973
0.1,44,0.21839080459770116,0.15053763440860216,0.18446421950315167
0.1,45,0.21052631578947367,0.15384615384615385,0.18218623481781376
0.1,46,0.20454545454545456,0.15217391304347827,0.17835968379446643
0.1,47,0.09302325581395349,0.09574468085106383,0.09438396833250866
